Date,Adj Close,Close,High,Low,Open,Volume
,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO
2021-08-26,76153.484375,76543.796875,77449.953125,76330.046875,77449.953125,462
2021-08-27,76536.6171875,76928.8984375,77319.8984375,76534.5,77199.0,368
2021-08-30,77808.2578125,78207.046875,78365.703125,77546.0,77546.0,443
2021-08-31,79309.8125,79716.296875,79900.0,78256.8984375,78511.1484375,1209
2021-09-01,79559.4296875,79967.203125,80548.25,79300.0,80300.0,312
2021-09-02,80836.2265625,81250.546875,81800.0,80107.0,80549.8984375,1132
2021-09-03,81948.4296875,82368.453125,82595.0,81444.046875,81701.6484375,500
2021-09-06,81044.015625,81459.3984375,83192.3515625,81236.8984375,82400.0,498
2021-09-07,80646.9140625,81060.25,82272.5,80995.703125,81761.75,652
2021-09-08,79778.3984375,80187.296875,81680.0,79835.0,81680.0,325
2021-09-09,79484.2578125,79891.6484375,81409.796875,79749.1015625,80608.0,1447
2021-09-13,79751.84375,80160.6015625,80400.0,79217.6015625,79700.0,415
2021-09-14,79993.359375,80403.3515625,80803.546875,80125.6484375,80299.0,358
2021-09-15,79829.9375,80239.1015625,80933.796875,80160.0,80898.796875,210
2021-09-16,79536.6875,79944.3515625,80522.25,79833.3984375,80495.796875,381
2021-09-17,78982.578125,79387.3984375,80300.0,78900.8515625,80299.953125,443
2021-09-20,78470.421875,78872.6015625,79870.6015625,78630.3515625,78776.1484375,225
2021-09-21,78037.7890625,78437.75,79043.8984375,78100.0,79000.0,645
2021-09-22,79610.578125,80018.6015625,80549.8984375,78200.046875,78200.046875,880
2021-09-23,79754.4296875,80163.203125,81008.046875,80000.0,80120.0,2557
2021-09-24,79058.3359375,79463.546875,80694.8984375,79044.0,80200.0,328
2021-09-27,81381.640625,81798.75,81988.953125,79111.0,79878.453125,1623
2021-09-28,80140.7578125,80551.5,81980.0,79800.046875,81980.0,624
2021-09-29,78676.5078125,79079.75,80433.296875,78868.1484375,80411.0,624
2021-09-30,78963.0,79367.703125,79600.3984375,78700.0,79600.0,486
2021-10-01,78787.5234375,79191.3515625,79336.296875,78507.6015625,79009.0,1369
2021-10-04,79373.0859375,79779.8984375,80519.953125,79048.6015625,79110.0,737
2021-10-05,79010.53125,79415.5,80050.0,79205.1484375,79950.0,209
2021-10-06,78314.5546875,78715.953125,79850.0,78525.046875,79761.3984375,584
2021-10-07,80778.734375,81192.75,81400.0,78895.3984375,79100.0,2098
2021-10-08,85355.9765625,85793.453125,86244.25,81409.5,81409.5,1534
2021-10-11,84459.3125,84892.203125,87579.8515625,84757.25,86250.0,2737
2021-10-12,85198.46875,85635.1484375,86178.0,84461.3515625,85600.0,399
2021-10-13,85681.7109375,86120.8515625,86700.0,85403.953125,85850.0,889
2021-10-14,84739.1796875,85173.5,86859.5,84964.75,86250.0,621
2021-10-18,83858.4375,84288.25,86850.0,84000.0,85500.0,2771
2021-10-19,82654.46875,83078.1015625,85097.953125,82634.046875,84300.0,363
2021-10-20,82106.7109375,82527.546875,83749.0,81001.0,83237.5,2675
2021-10-21,80686.9375,81100.5,83356.0,80946.046875,83356.0,1179
2021-10-22,80265.2578125,80676.6484375,82210.203125,80190.0,81299.1015625,471
2021-10-25,78969.25,79374.0,81638.5,79225.453125,81638.5,608
2021-10-26,79647.0859375,80055.296875,80485.1015625,79310.0,79310.0,219
2021-10-27,79048.7890625,79453.953125,80583.5,79200.0,80400.0,297
2021-10-28,77257.625,77653.6015625,79692.0,77300.0,79499.953125,1012
2021-10-29,76959.3984375,77353.8515625,78449.8984375,76640.203125,77653.6015625,509
2021-11-01,78279.4453125,78680.6484375,78943.5,77235.8984375,78203.5,582
2021-11-02,78189.6328125,78590.3984375,79277.6015625,78350.1015625,78799.0,151
2021-11-03,77672.046875,78070.1484375,78981.75,77815.0,78874.1015625,362
2021-11-04,78001.109375,78400.8984375,78673.3984375,78151.1015625,78340.0,97
2021-11-08,79448.0,79855.203125,80200.0,78568.1015625,78859.046875,236
2021-11-09,78119.265625,78519.6484375,80439.796875,78050.0,80150.0,579
2021-11-10,77819.5390625,78218.3984375,78943.8515625,78000.0,78824.953125,365
2021-11-11,76807.578125,77201.25,78800.0,76905.0,78800.0,982
2021-11-12,77795.3359375,78194.046875,78299.953125,77300.0,77725.0,290
2021-11-15,78058.1875,78458.25,78879.6484375,77711.953125,78700.0,797
2021-11-16,78059.140625,78459.203125,79448.1484375,78190.796875,78863.953125,312
2021-11-17,78939.34375,79340.8984375,79450.0,78594.546875,78850.0,622
2021-11-18,77140.34375,77532.75,79998.5,77310.0,79500.0,394
2021-11-22,75281.3515625,75664.296875,77989.953125,75040.1015625,77600.0,973
2021-11-23,76081.7734375,76468.796875,76789.546875,75075.203125,75949.0,1220
2021-11-24,76077.90625,76464.8984375,77448.953125,76089.0,76790.0,304
2021-11-25,75275.5390625,75658.453125,76646.3984375,75265.6484375,76599.0,361
2021-11-26,74790.6484375,75171.1015625,75830.0,74555.046875,75830.0,517
2021-11-29,73428.828125,73802.3515625,75100.0,73111.0,75100.0,332
2021-11-30,74635.9921875,75015.6484375,75999.796875,73690.0,73690.0,501
2021-12-01,73412.109375,73785.546875,75323.1484375,73550.0,75000.1015625,508
2021-12-02,73521.7890625,73895.796875,74299.0,73250.0,74299.0,603
2021-12-03,73564.4296875,73938.6484375,74700.0,73772.25,74237.453125,531
2021-12-06,72889.96875,73260.75,74056.203125,73000.0,73801.0,483
2021-12-07,73220.8828125,73593.3515625,73882.0,73300.046875,73300.046875,218
2021-12-08,74286.71875,74664.6015625,75199.0,73800.0,73800.0,282
2021-12-09,74266.4140625,74644.203125,75339.203125,74150.0,75080.0,285
2021-12-10,73894.7421875,74270.6484375,74950.0,74012.1484375,74668.546875,285
2021-12-13,73446.1328125,73819.75,75100.0,73650.796875,74500.0,487
2021-12-14,73680.1953125,74055.0,74199.796875,73280.046875,73280.046875,220
2021-12-15,73577.21875,73951.5,74500.0,73820.0,74189.953125,174
2021-12-16,72964.0390625,73335.203125,74382.0,73165.0,74337.296875,244
2021-12-17,72192.7578125,72560.0,73780.0,72102.3515625,73780.0,532
2021-12-20,69619.5625,69973.703125,72599.0,68719.8984375,72599.0,1418
2021-12-21,70097.96875,70454.546875,71157.6015625,69954.8515625,70840.0,540
2021-12-22,70178.6015625,70535.6015625,71280.203125,70320.1484375,70550.0,298
2021-12-23,70681.0546875,71040.6015625,71400.3984375,70750.046875,71079.953125,217
2021-12-24,69701.4375,70056.0,71392.1015625,69930.0,71350.0,497
2021-12-27,70113.046875,70469.703125,70692.1015625,69300.0,70091.3984375,391
2021-12-28,71216.78125,71579.046875,71994.796875,70683.1484375,70750.0,219
2021-12-29,72202.2109375,72569.5,72678.8515625,71197.1015625,71197.1015625,279
